nohup: 忽略输入
152974 356940
train num_classes 625
test num_classes 625

Epoch : 1
[progress:5.7%]time:8.16s Loss:1.33579 Correct:13846/20480 Acc:67.607%
[progress:8.6%]time:8.10s Loss:1.28770 Correct:20942/30720 Acc:68.171%
[progress:11.5%]time:8.15s Loss:1.25450 Correct:28066/40960 Acc:68.521%
[progress:14.3%]time:8.20s Loss:1.26959 Correct:35224/51200 Acc:68.797%
[progress:17.2%]time:8.18s Loss:1.23105 Correct:42435/61440 Acc:69.067%
[progress:20.1%]time:8.18s Loss:1.24641 Correct:49612/71680 Acc:69.213%
[progress:22.9%]time:8.15s Loss:1.26735 Correct:56804/81920 Acc:69.341%
[progress:25.8%]time:8.12s Loss:1.25292 Correct:64026/92160 Acc:69.473%
[progress:28.7%]time:8.15s Loss:1.21224 Correct:71287/102400 Acc:69.616%
[progress:31.5%]time:8.18s Loss:1.22144 Correct:78586/112640 Acc:69.767%
[progress:34.4%]time:8.20s Loss:1.19291 Correct:85948/122880 Acc:69.945%
[progress:37.2%]time:8.23s Loss:1.19053 Correct:93289/133120 Acc:70.079%
[progress:40.1%]time:8.16s Loss:1.21635 Correct:100616/143360 Acc:70.184%
[progress:43.0%]time:8.21s Loss:1.15097 Correct:108003/153600 Acc:70.314%
[progress:45.8%]time:8.17s Loss:1.15170 Correct:115448/163840 Acc:70.464%
[progress:48.7%]time:8.20s Loss:1.19289 Correct:122796/174080 Acc:70.540%
[progress:51.6%]time:8.18s Loss:1.20107 Correct:130122/184320 Acc:70.596%
[progress:54.4%]time:8.24s Loss:1.16736 Correct:137489/194560 Acc:70.667%
[progress:57.3%]time:8.22s Loss:1.15369 Correct:144951/204800 Acc:70.777%
[progress:60.2%]time:8.13s Loss:1.19226 Correct:152283/215040 Acc:70.816%
[progress:63.0%]time:8.20s Loss:1.16481 Correct:159714/225280 Acc:70.896%
[progress:65.9%]time:8.20s Loss:1.12975 Correct:167185/235520 Acc:70.985%
[progress:68.8%]time:8.19s Loss:1.13954 Correct:174687/245760 Acc:71.080%
[progress:71.6%]time:8.22s Loss:1.13320 Correct:182162/256000 Acc:71.157%
[progress:74.5%]time:8.17s Loss:1.11376 Correct:189710/266240 Acc:71.255%
[progress:77.4%]time:8.19s Loss:1.09622 Correct:197273/276480 Acc:71.352%
[progress:80.2%]time:8.17s Loss:1.11209 Correct:204811/286720 Acc:71.432%
[progress:83.1%]time:8.19s Loss:1.08721 Correct:212424/296960 Acc:71.533%
[progress:86.0%]time:8.22s Loss:1.08227 Correct:220028/307200 Acc:71.624%
[progress:88.8%]time:8.11s Loss:1.09371 Correct:227584/317440 Acc:71.694%
[progress:91.7%]time:8.13s Loss:1.07569 Correct:235226/327680 Acc:71.785%
[progress:94.6%]time:8.14s Loss:1.11030 Correct:242822/337920 Acc:71.858%
[progress:97.4%]time:8.19s Loss:1.05734 Correct:250565/348160 Acc:71.968%
Testing ...
[progress:100.0%]time:45.35s Loss:1.50460 Correct:100234/152974 Acc:65.524%
end

Epoch : 4
[progress:2.9%]time:8.91s Loss:1.11724 Correct:7528/10240 Acc:73.516%
[progress:5.7%]time:8.16s Loss:1.06181 Correct:15235/20480 Acc:74.390%
[progress:8.6%]time:8.11s Loss:0.99107 Correct:23049/30720 Acc:75.029%
[progress:11.5%]time:8.14s Loss:1.04469 Correct:30756/40960 Acc:75.088%
[progress:14.3%]time:8.19s Loss:1.03048 Correct:38523/51200 Acc:75.240%
[progress:17.2%]time:8.15s Loss:1.00449 Correct:46344/61440 Acc:75.430%
[progress:20.1%]time:8.18s Loss:1.00629 Correct:54157/71680 Acc:75.554%
[progress:22.9%]time:8.22s Loss:1.01654 Correct:61962/81920 Acc:75.637%
[progress:25.8%]time:8.12s Loss:0.98620 Correct:69810/92160 Acc:75.749%
[progress:28.7%]time:8.14s Loss:0.97744 Correct:77695/102400 Acc:75.874%
[progress:31.5%]time:8.19s Loss:0.99491 Correct:85533/112640 Acc:75.935%
[progress:34.4%]time:8.16s Loss:0.98998 Correct:93361/122880 Acc:75.977%
[progress:37.2%]time:8.17s Loss:1.00637 Correct:101126/133120 Acc:75.966%
[progress:40.1%]time:8.24s Loss:1.02632 Correct:108910/143360 Acc:75.970%
[progress:43.0%]time:8.16s Loss:0.95263 Correct:116836/153600 Acc:76.065%
[progress:45.8%]time:8.17s Loss:0.96641 Correct:124798/163840 Acc:76.171%
[progress:48.7%]time:8.20s Loss:0.94619 Correct:132739/174080 Acc:76.252%
[progress:51.6%]time:8.20s Loss:0.94803 Correct:140656/184320 Acc:76.311%
[progress:54.4%]time:8.19s Loss:0.97573 Correct:148500/194560 Acc:76.326%
[progress:57.3%]time:8.25s Loss:0.96698 Correct:156429/204800 Acc:76.381%
[progress:60.2%]time:8.15s Loss:0.92546 Correct:164441/215040 Acc:76.470%
[progress:63.0%]time:8.20s Loss:0.95455 Correct:172378/225280 Acc:76.517%
[progress:65.9%]time:8.18s Loss:0.93244 Correct:180316/235520 Acc:76.561%
[progress:68.8%]time:8.20s Loss:0.93824 Correct:188274/245760 Acc:76.609%
[progress:71.6%]time:8.21s Loss:0.90587 Correct:196267/256000 Acc:76.667%
[progress:74.5%]time:8.16s Loss:0.90898 Correct:204303/266240 Acc:76.736%
[progress:77.4%]time:8.19s Loss:0.90401 Correct:212374/276480 Acc:76.814%
[progress:80.2%]time:8.18s Loss:0.93535 Correct:220372/286720 Acc:76.860%
[progress:83.1%]time:8.21s Loss:0.92279 Correct:228351/296960 Acc:76.896%
[progress:86.0%]time:8.19s Loss:0.91975 Correct:236375/307200 Acc:76.945%
[progress:88.8%]time:8.21s Loss:0.91435 Correct:244423/317440 Acc:76.998%
[progress:91.7%]time:8.17s Loss:0.93224 Correct:252409/327680 Acc:77.029%
[progress:94.6%]time:8.18s Loss:0.92557 Correct:260411/337920 Acc:77.063%
[progress:97.4%]time:8.19s Loss:0.91666 Correct:268478/348160 Acc:77.113%
Testing ...
[progress:100.0%]time:45.00s Loss:1.31675 Correct:108021/152974 Acc:70.614%
Saving parameters to checkpoint/ckpt.t7
end

Epoch : 5
[progress:2.9%]time:9.04s Loss:1.00918 Correct:7758/10240 Acc:75.762%
[progress:5.7%]time:8.10s Loss:0.92462 Correct:15767/20480 Acc:76.987%
[progress:8.6%]time:8.18s Loss:0.88024 Correct:23924/30720 Acc:77.878%
[progress:11.5%]time:8.22s Loss:0.89051 Correct:32011/40960 Acc:78.152%
[progress:14.3%]time:8.12s Loss:0.87078 Correct:40195/51200 Acc:78.506%
[progress:17.2%]time:8.12s Loss:0.87079 Correct:48357/61440 Acc:78.706%
[progress:20.1%]time:8.14s Loss:0.88474 Correct:56491/71680 Acc:78.810%
[progress:22.9%]time:8.19s Loss:0.89593 Correct:64604/81920 Acc:78.862%
[progress:25.8%]time:8.20s Loss:0.89165 Correct:72717/92160 Acc:78.903%
[progress:28.7%]time:8.24s Loss:0.84093 Correct:80904/102400 Acc:79.008%
[progress:31.5%]time:8.20s Loss:0.84831 Correct:89098/112640 Acc:79.100%
[progress:34.4%]time:8.13s Loss:0.86361 Correct:97312/122880 Acc:79.193%
[progress:37.2%]time:8.20s Loss:0.86229 Correct:105517/133120 Acc:79.265%
[progress:40.1%]time:8.20s Loss:0.89259 Correct:113588/143360 Acc:79.233%
[progress:43.0%]time:8.24s Loss:0.85048 Correct:121770/153600 Acc:79.277%
[progress:45.8%]time:8.18s Loss:0.87475 Correct:129921/163840 Acc:79.297%
[progress:48.7%]time:8.20s Loss:0.83077 Correct:138202/174080 Acc:79.390%
[progress:51.6%]time:8.15s Loss:0.81302 Correct:146481/184320 Acc:79.471%
[progress:54.4%]time:8.19s Loss:0.84996 Correct:154693/194560 Acc:79.509%
[progress:57.3%]time:8.19s Loss:0.87362 Correct:162823/204800 Acc:79.503%
[progress:60.2%]time:8.23s Loss:0.85062 Correct:170987/215040 Acc:79.514%
